real_time,tick_ms,sensor,value1,value2
# Session started: 2026-07-28 18:28:16
2026-07-28 18:52:20,68806,DHT11,30.0,71.0
2026-07-28 18:52:23,70830,DHT11,30.0,71.0
2026-07-28 18:52:24,72687,PIR,1
2026-07-28 18:52:25,72854,DHT11,30.0,71.0
2026-07-28 18:52:27,74877,DHT11,30.0,71.0
2026-07-28 18:52:29,76901,DHT11,30.0,71.0
2026-07-28 18:52:31,78925,DHT11,30.0,71.0
2026-07-28 18:52:33,80949,DHT11,30.0,71.0
2026-07-28 18:52:35,82973,DHT11,30.0,71.0
2026-07-28 18:52:37,84996,DHT11,30.0,71.0
2026-07-28 18:52:39,86857,PIR,1
2026-07-28 18:52:39,87019,DHT11,30.0,71.0
2026-07-28 18:52:41,89043,DHT11,30.0,71.0
2026-07-28 18:52:43,91067,DHT11,30.0,71.0
2026-07-28 18:52:45,93090,DHT11,30.0,71.0
2026-07-28 18:52:47,95114,DHT11,30.0,71.0
2026-07-28 18:52:49,97138,DHT11,30.0,71.0
2026-07-28 18:52:51,99161,DHT11,30.0,71.0
2026-07-28 18:52:53,101185,DHT11,30.0,71.0
2026-07-28 18:52:55,103208,DHT11,30.0,71.0
2026-07-28 18:52:57,105232,DHT11,30.0,71.0
2026-07-28 18:52:59,107256,DHT11,30.0,71.0
2026-07-28 18:53:01,109280,DHT11,30.0,71.0
2026-07-28 18:53:03,111303,DHT11,30.0,71.0
2026-07-28 18:53:05,113326,DHT11,30.0,71.0
2026-07-28 18:53:07,115349,DHT11,30.0,71.0
2026-07-28 18:53:09,117372,DHT11,30.0,71.0
2026-07-28 18:53:11,119395,DHT11,30.0,71.0
2026-07-28 18:53:13,121418,DHT11,30.0,71.0
2026-07-28 18:53:15,123442,DHT11,30.0,71.0
2026-07-28 18:53:17,125466,DHT11,30.0,71.0
2026-07-28 18:53:19,127489,DHT11,30.0,71.0
2026-07-28 18:53:21,129512,DHT11,30.0,70.0
2026-07-28 18:53:23,131535,DHT11,30.0,71.0
2026-07-28 18:53:25,133558,DHT11,30.0,70.0
2026-07-28 18:53:27,135582,DHT11,30.0,71.0
2026-07-28 18:53:29,137606,DHT11,30.0,71.0
2026-07-28 18:53:31,139630,DHT11,30.0,71.0
2026-07-28 18:53:33,141654,DHT11,30.0,71.0
2026-07-28 18:53:35,143677,DHT11,30.0,71.0
2026-07-28 18:53:37,145700,DHT11,30.0,71.0
2026-07-28 18:53:39,147724,DHT11,30.0,71.0
2026-07-28 18:53:42,149748,DHT11,30.0,71.0
2026-07-28 18:53:44,151772,DHT11,30.0,71.0
# Session started: 2026-07-28 18:56:44
2026-07-28 18:56:46,8100,DHT11,30.0,71.0
2026-07-28 18:56:48,10123,DHT11,30.0,71.0
2026-07-28 18:56:50,12146,DHT11,30.0,71.0
2026-07-28 18:56:52,14170,DHT11,30.0,71.0
2026-07-28 18:56:52,14473,PIR,1
2026-07-28 18:56:54,16193,DHT11,30.0,71.0
2026-07-28 18:56:56,18217,DHT11,30.0,71.0
2026-07-28 18:56:58,20240,DHT11,30.0,71.0
2026-07-28 18:57:00,22263,DHT11,30.0,71.0
2026-07-28 18:57:00,22484,PIR,1
2026-07-28 18:57:02,24287,DHT11,30.0,71.0
2026-07-28 18:57:04,26310,DHT11,30.0,71.0
2026-07-28 18:57:06,28334,DHT11,30.0,71.0
2026-07-28 18:57:06,28722,PIR,1
2026-07-28 18:57:08,30357,DHT11,30.0,71.0
2026-07-28 18:57:10,32381,DHT11,30.0,71.0
2026-07-28 18:57:12,34405,DHT11,30.0,77.0
2026-07-28 18:57:14,36428,DHT11,30.0,82.0
2026-07-28 18:57:14,36595,PIR,1
2026-07-28 18:57:16,38451,DHT11,31.0,84.0
2026-07-28 18:57:18,40474,DHT11,31.0,84.0
2026-07-28 18:57:20,42497,DHT11,31.0,84.0
2026-07-28 18:57:22,44520,DHT11,31.0,84.0
2026-07-28 18:57:24,46544,DHT11,31.0,83.0
2026-07-28 18:57:26,48567,DHT11,31.0,82.0
2026-07-28 18:57:26,48779,PIR,1
2026-07-28 18:57:28,50590,DHT11,31.0,80.0
